"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2011"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2011 (201108)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Pending Audition - Piano","MUS","050","01","80920","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Le, Andrew C.",08/30-12/09,16
,"THIS SECTION FOR NEW PIANO STUDENTS ONLY. Students must be available on Monday, August 31 for audition & placement in Mus 179, Piano. Auditions will NOT be held on other days. Applicable course fee will be added upon placement."
"COMPLETED","Pending Audition - Voice","MUS","060","01","80921","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Dykstra, Linda L.",08/30-12/09,16
,"THIS SECTION FOR NEW VOICE STUDENTS ONLY. Students must be available on Monday, August 31 for audition & placement in the appropriate voice course. Auditions will NOT be held on other days. Applicable course fee will be added upon placement."
"COMPLETED","Concert Attendance","MUS","080","01","80716",0,""," "," "," ","R"," "," "," ","1100-1150","NYKERK 124",100,84,16,0,"Hodson, Robert D.",08/30-12/09,16
"CLOSED","Introduction to Music","MUS","101","01","81088",4,FA1," ","T"," ","R"," "," "," ","1200-1320","NYKERK 100",35,36,-1,0,"Lewis, Huw R.",08/30-12/09,16
"COMPLETED","World Music","MUS","104","01","80691",4,FA1,"M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100",35,33,2,0,"Randel, Julia",08/30-12/09,16
"","","","","","",,"CD4","M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","01","80536",4,FA1," ","T"," ","R"," "," "," ","0800-0920","NYKERK 124",40,43,-3,0,"Coyle, Brian R.",08/30-12/09,16
"","","","","","",,"CD4"," ","T"," ","R"," "," "," ","0800-0920","NYKERK 124","","","","","",""
"COMPLETED","Survey of Jazz","MUS","105","02","81533",4,CD4," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124",40,37,3,0,"Talaga, Stephen C.",08/30-12/09,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124","","","","","",""
"COMPLETED","Theory I","MUS","111","01","80039",4,"","M"," ","W"," ","F"," "," ","1100-1150","NYKERK 101",20,18,2,0,"West, Elizabeth O.",08/30-12/09,16
"COMPLETED","Theory I","MUS","111","02","80040",4,"","M"," ","W"," ","F"," "," ","1200-1250","NYKERK 101",20,15,5,0,"West, Elizabeth O.",08/30-12/09,16
