"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2012"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2012 (201208)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Pending Audition - Piano","MUS","050","01","80777","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Le, Andrew C.",08/28-12/07,16
,"THIS SECTION FOR NEW PIANO STUDENTS ONLY. Students must be available on Monday, August 31 for audition & placement in Mus 179, Piano. Auditions will NOT be held on other days. Applicable course fee will be added upon placement."
"COMPLETED","Pending Audition - Voice","MUS","060","01","80778","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Dykstra, Linda L.",08/28-12/07,16
,"THIS SECTION FOR NEW VOICE STUDENTS ONLY. Students must be available on Monday, August 31 for audition & placement in the appropriate voice course. Auditions will NOT be held on other days. Applicable course fee will be added upon placement."
"COMPLETED","Concert Attendance","MUS","080","01","80619",0,""," "," "," ","R"," "," "," ","1100-1150","NYKERK 124",100,67,33,0,"Hodson, Robert D.",08/28-12/07,16
"COMPLETED","Introduction to Music","MUS","101","01","80876",4,FA1," ","T"," ","R"," "," "," ","1200-1320","NYKERK 100",35,33,2,0,"Lewis, Huw R.",08/28-12/07,16
"CLOSED","Introduction to Music","MUS","101","02","81395",4,FA1," ","T"," ","R"," "," "," ","1330-1450","NYKERK 124",35,36,-1,0,"Southard, Sarah",08/28-12/07,16
"CLOSED","Introduction to Music","MUS","101","03","81524",4,FA1," ","T"," ","R"," "," "," ","0930-1050","NYKERK 124",35,35,0,0,"Southard, Sarah",08/28-12/07,16
"CLOSED","World Music","MUS","104","01","80598",4,FA1,"M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100",35,35,0,0,"Randel, Julia",08/28-12/07,16
"","","","","","",,"GLI","M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100","","","","","",""
"","","","","","",,"CD4","M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","01","80467",4,GLD," ","T"," ","R"," "," "," ","0800-0920","NYKERK 124",40,43,-3,0,"Coyle, Brian R.",08/28-12/07,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","0800-0920","NYKERK 124","","","","","",""
"","","","","","",,"CD4"," ","T"," ","R"," "," "," ","0800-0920","NYKERK 124","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","02","81182",4,GLD," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124",40,45,-5,0,"Talaga, Stephen C.",08/28-12/07,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124","","","","","",""
"","","","","","",,"CD4"," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124","","","","","",""
"COMPLETED","Theory I","MUS","111","01","80035",4,"","M"," ","W"," ","F"," "," ","1100-1150","NYKERK 101",20,15,5,0,"West, Elizabeth O.",08/28-12/07,16
"COMPLETED","Theory I","MUS","111","02","80036",4,"","M"," ","W"," ","F"," "," ","1200-1250","NYKERK 101",20,19,1,0,"West, Elizabeth O.",08/28-12/07,16
"COMPLETED","Aural Skills I","MUS","113","01","80743",1,"","M"," ","W"," "," "," "," ","1100-1150","NYKERK 116",20,14,6,0,"Sooy, Julie A.",08/28-12/07,16
,"Completion of MUS 111 or concurrent enrollment required."
"","","","","","",,""," "," "," "," ","F"," "," ","1100-1150","NYKERK 102","","","","","",""
"COMPLETED","Aural Skills I","MUS","113","02","80037",1,"","M"," ","W"," ","F"," "," ","1200-1250","NYKERK 100",20,14,6,0,"Wolfe, Jennifer A.",08/28-12/07,16
,"Completion of MUS 111 or concurrent enrollment required."
"COMPLETED","Chapel Choir","MUS","115","01","80038",1,FA2,"M","T","W","R"," "," "," ","1630-1735","NYKERK 124",25,11,14,0,"Richmond, Brad W.",08/28-12/07,16
"CLOSED","Chapel Choir","MUS","115","11","80626",0,"","M","T","W","R"," "," "," ","1630-1735","NYKERK 124",25,33,-8,0,"Richmond, Brad W.",08/28-12/07,16
,"This section is for those students who are participating in Chapel Choir for pass-fail, zero credit only."
"COMPLETED","College Chorus","MUS","116","01","80039",1,FA2," ","T"," "," "," "," "," ","1930-2100","NYKERK 124",50,31,19,0,"Richmond, Brad W.",08/28-12/07,16
"COMPLETED","College Chorus","MUS","116","11","80627",0,""," ","T"," "," "," "," "," ","1930-2100","NYKERK 124",50,17,33,0,"Richmond, Brad W.",08/28-12/07,16
,"This section is for those students who are participating in College Chorus for pass-fail, zero credit only."
"COMPLETED","Women's Chamber Choir","MUS","117","01","80432",1,FA2," ","T"," ","R"," "," "," ","1200-1320","CHAPEL AUD",20,10,10,0,"Wolfe, Jennifer A.",08/28-12/07,16
"COMPLETED","Women's Chamber Choir","MUS","117","11","80628",0,""," ","T"," ","R"," "," "," ","1200-1320","CHAPEL AUD",20,8,12,0,"Wolfe, Jennifer A.",08/28-12/07,16
,"This section is for those students who are participating in Women's Chorus for pass-fail, zero credit only."
"COMPLETED","Orchestra","MUS","120","01","80040",1,FA2,"M"," ","W"," "," "," "," ","1500-1550","NYKERK 116",30,20,10,0,"Piippo, Richard G.",08/28-12/07,16
,"This section is for all string players enrolling for credit."
"","","","","","",,"FA2"," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116","","","","","",""
"COMPLETED","Orchestra","MUS","120","02","80713",1,FA2," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116",30,1,29,0,"Piippo, Richard G.",08/28-12/07,16
,"This section is for all woodwind, brass, percussion players enrolling for credit."
"COMPLETED","Orchestra","MUS","120","11","80622",0,"","M"," ","W"," "," "," "," ","1500-1550","NYKERK 116",30,22,8,0,"Piippo, Richard G.",08/28-12/07,16
,"This section is for all string players enrolling for for pass-fail, zero credit only."
"","","","","","",,""," ","T"," ","R"," "," "," ","1700-1820","NYKERK 116","","","","","",""
"COMPLETED","Orchestra","MUS","120","12","80714",0,""," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116",30,13,17,0,"Piippo, Richard G.",08/28-12/07,16
,"This section is for all woodwind, brass, percussion players enrolling for pass/fail, zero credit only."
"COMPLETED","Wind Ensemble","MUS","130","01","80041",1,FA2,"M"," ","W"," "," "," "," ","1700-1810","NYKERK 116",30,12,18,0,"Southard, Robert G.",08/28-12/07,16
"","","","","","",,"FA2"," "," "," "," ","F"," "," ","1300-1430","NYKERK 116","","","","","",""
