"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Spring 2012"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"SPRING 2012 (201201)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Concert Attendance","MUS","080","01","10639",0,""," "," "," ","R"," "," "," ","1100-1150","NYKERK 124",150,73,77,0,"Waterstone, Kathy A.",01/10-04/27,16
"CLOSED","Introduction to Music","MUS","101","01","11462",4,FA1," ","T"," ","R"," "," "," ","0930-1050","NYKERK 124",35,36,-1,0,"Southard, Sarah",01/10-04/27,16
"CLOSED","Introduction to Music","MUS","101","02","10758",4,FA1," ","T"," ","R"," "," "," ","1200-1320","NYKERK 124",35,35,0,0,"Southard, Sarah",01/10-04/27,16
"COMPLETED","Introduction to Music","MUS","101","03","11368",4,FA1," ","T"," ","R"," "," "," ","1500-1620","NYKERK 100",35,33,2,0,"Lewis, Huw R.",01/10-04/27,16
"COMPLETED","Perspectives in Music","MUS","102","01","10028",2,""," ","T"," ","R"," "," "," ","1400-1450","NYKERK 101",25,14,11,0,"Hornbach, Christina M.",01/10-04/27,16
"COMPLETED","Perspectives in Music","MUS","102","02","10886",2,""," ","T"," ","R"," "," "," ","0830-0920","NYKERK 100",25,15,10,0,"Hornbach, Christina M.",01/10-04/27,16
"CLOSED","Survey of Jazz","MUS","105","01","10727",4,FA1," ","T"," ","R"," "," "," ","1330-1450","NYKERK 124",40,46,-6,0,"Coyle, Brian R.",01/10-04/27,16
"","","","","","",,"CD4"," ","T"," ","R"," "," "," ","1330-1450","NYKERK 124","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","02","10647",4,FA1," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124",35,45,-10,0,"Talaga, Stephen C.",01/10-04/27,16
"","","","","","",,"CD4"," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124","","","","","",""
"COMPLETED","Theory II","MUS","112","01","10029",4,"","M"," ","W"," ","F"," "," ","1100-1150","NYKERK 101",15,14,1,0,"West, Elizabeth O.",01/10-04/27,16
"COMPLETED","Theory II","MUS","112","02","10030",4,"","M"," ","W"," ","F"," "," ","1200-1250","NYKERK 101",15,13,2,0,"West, Elizabeth O.",01/10-04/27,16
"COMPLETED","Aural Skills II","MUS","114","01","10032",1,"","M"," ","W"," ","F"," "," ","1100-1150","NYKERK 102",15,12,3,0,"Sooy, Julie A.",01/10-04/27,16
"COMPLETED","Aural Skills II","MUS","114","02","10759",1,"","M"," ","W"," ","F"," "," ","1200-1250","NYKERK 100",15,14,1,0,"Wolfe, Jennifer A.",01/10-04/27,16
"COMPLETED","Chapel Choir","MUS","115","01","10033",1,FA2,"M","T","W","R"," "," "," ","1630-1735","NYKERK 124",70,25,45,0,"Richmond, Brad W.",01/10-04/27,16
"COMPLETED","Chapel Choir","MUS","115","011","10699",0,"","M","T","W","R"," "," "," ","1630-1735","NYKERK 124",70,15,55,0,"Richmond, Brad W.",01/10-04/27,16
,"This section is for those students who are participating in Chapel Choir for pass-fail, zero credit only."
"COMPLETED","College Chorus","MUS","116","01","10034",1,FA2," ","T"," "," "," "," "," ","1930-2050","NYKERK 124",100,28,72,0,"Richmond, Brad W.",01/10-04/27,16
"COMPLETED","College Chorus","MUS","116","011","10700",0,""," ","T"," "," "," "," "," ","1930-2050","NYKERK 124",100,18,82,0,"Richmond, Brad W.",01/10-04/27,16
,"This section is for those students who are participating in College Chorus for pass-fail, zero credit only."
"COMPLETED","Women's Chorus","MUS","117","01","11258",1,FA2," ","T"," ","R"," "," "," ","1200-1250","CHAPEL AUD",30,17,13,0,"Wolfe, Jennifer A.",01/10-04/27,16
,""
"COMPLETED","Women's Chorus","MUS","117","011","10701",0,""," ","T"," ","R"," "," "," ","1200-1250","CHAPEL AUD",30,9,21,0,"Wolfe, Jennifer A.",01/10-04/27,16
,"This section is for those students who are participating in Women's Chorus for pass-fail, zero credit only."
"COMPLETED","Orchestra","MUS","120","01","10035",1,FA2,"M"," ","W"," "," "," "," ","1500-1550","NYKERK 116",65,20,45,0,"Piippo, Richard G.",01/10-04/27,16
,"This section is for all string players enrolling for credit."
"","","","","","",,"FA2"," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116","","","","","",""
"COMPLETED","Orchestra","MUS","120","011","10657",0,"","M"," ","W"," "," "," "," ","1500-1550","NYKERK 116",100,21,79,0,"Piippo, Richard G.",01/10-04/27,16
,"This section is for all string players enrolling for pass-fail, zero credit only."
"","","","","","",,""," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116","","","","","",""
"COMPLETED","Orchestra","MUS","120","02","10760",1,FA2," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116",70,5,65,0,"Piippo, Richard G.",01/10-04/27,16
,"This section is for all woodwind, brass, percussion players enrolling for credit."
"COMPLETED","Orchestra","MUS","120","021","10761",0,""," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116",70,11,59,0,"Piippo, Richard G.",01/10-04/27,16
,"This section is for all woodwind, brass, percussion players enrolling for pass-fail, zero credit only."
"COMPLETED","Wind Ensemble","MUS","130","01","10036",1,FA2,"M"," ","W"," "," "," "," ","1700-1810","NYKERK 116",60,17,43,0,"Southard, Robert G.",01/10-04/27,16
"","","","","","",,"FA2"," "," "," "," ","F"," "," ","1300-1430","NYKERK 116","","","","","",""
"COMPLETED","Wind Ensemble","MUS","130","011","10702",0,"","M"," ","W"," "," "," "," ","1700-1810","NYKERK 116",50,21,29,0,"Southard, Robert G.",01/10-04/27,16
,"This section is for those students who are participating in Wind Symphony for pass-fail, zero credit only."
"","","","","","",,""," "," "," "," ","F"," "," ","1300-1430","NYKERK 116","","","","","",""
"COMPLETED","Concert Band","MUS","133","01","10037",1,FA2," "," "," ","R"," "," "," ","1900-2030","NYKERK 116",30,7,23,0,"Southard, Robert G.",01/10-04/27,16
"COMPLETED","Concert Band","MUS","133","011","10703",0,""," "," "," ","R"," "," "," ","1900-2030","NYKERK 116",30,14,16,0,"Southard, Robert G.",01/10-04/27,16
,"This section is for those students who are participating in Concert Band for pass-fail, zero credit only."
"COMPLETED","Jazz Arts Collective","MUS","135","01","10038",1,FA2," ","T"," ","R"," "," "," ","1200-1320","NYKERK 116",10,5,5,0,"Coyle, Brian R.",01/10-04/27,16
"COMPLETED","Jazz Arts Collective","MUS","135","011","10704",0,""," ","T"," ","R"," "," "," ","1200-1320","NYKERK 116",10,6,4,0,"Coyle, Brian R.",01/10-04/27,16
,"This section is for those students who are participating in Jazz Ensemble for pass-fail, zero credit only."
"CANCELLED","Opera Workshop","MUS","155","011","11506",0,FA2,"TBA","","","","","","","","TBA",10,0,10,0,"Staff",01/10-02/29,8
,"Meets first half of semester.  This section is for pass-fail, zero credit only."
"CANCELLED","Opera Workshop","MUS","155","01X","11369",1,FA2,"TBA","","","","","","","","TBA",20,0,20,0,"Staff",01/10-02/29,8
,"Meets first half of semester."
"COMPLETED","Jazz Chamber Ensemble I","MUS","160","01","10039",.5,FA2,"TBA","","","","","","","","TBA",4,1,3,0,"Coyle, Brian R.",01/10-04/27,16
"CLOSED","Jazz Chamber Ensemble I","MUS","160","011","10705",0,"","TBA","","","","","","","","TBA",4,5,-1,0,"Coyle, Brian R.",01/10-04/27,16
,"This section is for those students who are participating in Jazz Chamber Ensemble I for pass-fail, zero credit only."
"COMPLETED","Jazz Chamber Ensemble II","MUS","160","02","10040",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Hodson, Robert D.",01/10-04/27,16
"COMPLETED","Jazz Chamber Ensemble II","MUS","160","021","10706",0,"","TBA","","","","","","","","TBA",4,2,2,0,"Hodson, Robert D.",01/10-04/27,16
,"This section is for those students who are participating in Jazz Chamber Ensemble II for pass-fail, zero credit only."
"COMPLETED","Jazz Chamber Ensemble III","MUS","160","03","10041",.5,FA2,"TBA","","","","","","","","TBA",4,3,1,0,"Talaga, Stephen C.",01/10-04/27,16
"COMPLETED","Jazz Chamber Ensemble III","MUS","160","031","10707",0,"","TBA","","","","","","","","TBA",4,1,3,0,"Talaga, Stephen C.",01/10-04/27,16
,"This section is for those students who are participating in Jazz Chamber Ensemble III for pass-fail, zero credit only."
"COMPLETED","Jazz Chamber Ensemble IV","MUS","160","04","10043",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Van Lente, Michael J.",01/10-04/27,16
"COMPLETED","Jazz Chamber Ensemble IV","MUS","160","041","10708",0,"","TBA","","","","","","","","TBA",4,3,1,0,"Van Lente, Michael J.",01/10-04/27,16
,"This section is for those students who are participating in Jazz Chamber Ensemble IV for pass-fail, zero credit only."
"COMPLETED","Jazz Chamber Ensemble V","MUS","160","05","10793",.5,FA2,"TBA","","","","","","","","TBA",4,0,4,0,"Lockwood, Thomas E.",01/10-04/27,16
"CLOSED","Jazz Chamber Ensemble V","MUS","160","051","10794",0,"","TBA","","","","","","","","TBA",4,4,0,0,"Lockwood, Thomas E.",01/10-04/27,16
,"This section is for those students who are participating in Jazz Chamber Ensemble for pass-fail, zero credit only."
"COMPLETED","Jazz Education Ensemble","MUS","160","06","11145",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Coyle, Brian R.",01/10-04/27,16
"COMPLETED","Jazz Education Ensemble","MUS","160","061","11146",0,"","TBA","","","","","","","","TBA",4,1,3,0,"Coyle, Brian R.",01/10-04/27,16
,"This section is for those students who are participating in Jazz Chamber Ensemble for pass-fail, zero credit only."
"COMPLETED","Flute Choir","MUS","160","07","10042",.5,FA2," ","T"," "," "," "," "," ","1100-1150","NYKERK 116",12,1,11,0,"Sooy, Julie A.",01/10-04/27,16
"COMPLETED","Flute Choir","MUS","160","071","10709",0,""," ","T"," "," "," "," "," ","1100-1150","NYKERK 116",12,7,5,0,"Sooy, Julie A.",01/10-04/27,16
,"This section is for those students who are participating in Flute Choir for pass-fail, zero credit only."
"COMPLETED","Chamber Music","MUS","160","08","10044",.5,FA2,"TBA","","","","","","","","TBA",6,0,6,0,"Piippo, Richard G.",01/10-04/27,16
"COMPLETED","Chamber Music","MUS","160","081","10710",0,"","TBA","","","","","","","","TBA",6,5,1,0,"Piippo, Richard G.",01/10-04/27,16
,"This section is for those students who are participating in Chamber Music for pass-fail, zero credit only."
"COMPLETED","Chamber Music","MUS","160","09","10530",.5,FA2,"TBA","","","","","","","","TBA",6,1,5,0,"Craioveanu, Mihai D.",01/10-04/27,16
"COMPLETED","Chamber Music","MUS","160","091","10711",0,"","TBA","","","","","","","","TBA",6,5,1,0,"Craioveanu, Mihai D.",01/10-04/27,16
,"This section is for those students who are participating in Chamber Music for pass-fail, zero credit only."
"CANCELLED","Percussian Ensemble","MUS","160","101","10796",0,"","TBA","","","","","","","","TBA",6,0,6,0,"Staff",01/10-04/27,16
,"This section is for those students who are participating in Percussian Ensemble for pass-fail, zero credit only."
"CANCELLED","Percussian Ensemble","MUS","160","10X","10795",.5,FA2,"TBA","","","","","","","","TBA",6,0,6,0,"Staff",01/10-04/27,16
