"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2015"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2015 (201508)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Pending Audition - Piano","MUS","050","01","81592","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Le, Andrew C.",09/01-12/11,16
,"THIS SECTION FOR NEW PIANO STUDENTS ONLY. Students must be available on Monday, August 31 for audition & placement in Mus 179, Piano. Auditions will NOT be held on other days. Applicable course fee will be added upon placement."
"COMPLETED","Pending Audition - Voice","MUS","060","01","81593","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Dykstra, Linda L.",09/01-12/11,16
,"THIS SECTION FOR NEW VOICE STUDENTS ONLY. Students must be available on Monday, August 31 for audition & placement in the appropriate voice course. Auditions will NOT be held on other days. Applicable course fee will be added upon placement."
"COMPLETED","Concert Attendance","MUS","080","01","81480",0,""," "," "," ","R"," "," "," ","1100-1150","JHMILR 120",100,59,41,0,"Waterstone, Kathy A.",09/01-12/11,16
"COMPLETED","Introduction to Music","MUS","101","01","81885",4,FA1," ","T"," ","R"," "," "," ","1330-1450","JHMILR 194",35,28,7,0,"Kim, JungWoo",09/01-12/11,16
"COMPLETED","Introduction to Music","MUS","101","02","81655",4,FA1," ","T"," ","R"," "," "," ","1200-1320","JHMILR 194",35,33,2,0,"Lewis, Huw R.",09/01-12/11,16
"CLOSED","Introduction to Music","MUS","101","03","82380",4,FA1,"M"," ","W"," "," "," "," ","0800-0920","JHMILR 194",35,35,0,0,"Leach, James D.",09/01-12/11,16
"COMPLETED","Introduction to Music","MUS","101","04","82382",4,FA1,"M"," ","W"," "," "," "," ","1300-1420","JHMILR 194",35,15,20,0,"Craioveanu, Mihai D.",09/01-12/11,16
"COMPLETED","Perspectives in Music","MUS","102","01","82628",4,GLI," ","T"," ","R"," "," "," ","1330-1450","JHMILR 192",10,9,1,0,"Hornbach, Christina M.",09/01-12/11,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1330-1450","JHMILR 192","","","","","",""
"CLOSED","World Music","MUS","104","01","81465",4,GLI," ","T"," ","R"," "," "," ","1500-1620","JHMILR 194",35,35,0,0,"Sooy, Julie A.",09/01-12/11,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1500-1620","JHMILR 194","","","","","",""
"","","","","","",,"CD4"," ","T"," ","R"," "," "," ","1500-1620","JHMILR 194","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","01","81370",4,GLD," ","T"," ","R"," "," "," ","0800-0920","JHMILR 194",35,35,0,0,"Coyle, Brian R.",09/01-12/11,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","0800-0920","JHMILR 194","","","","","",""
"","","","","","",,"CD4"," ","T"," ","R"," "," "," ","0800-0920","JHMILR 194","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","02","81804",4,GLD," ","T"," ","R"," "," "," ","0930-1050","DPRART 141",35,40,-5,0,"Talaga, Stephen C.",09/01-12/11,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","0930-1050","DPRART 141","","","","","",""
"","","","","","",,"CD4"," ","T"," ","R"," "," "," ","0930-1050","DPRART 141","","","","","",""
"COMPLETED","Theory I","MUS","111","01","81031",4,"","M"," ","W"," ","F"," "," ","1200-1250","JHMILR 192",20,8,12,0,"Hodson, Robert D.",09/01-12/11,16
