"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2016"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2016 (201608)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Pending Audition - Piano","MUS","050","01","81554","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Le, Andrew C.",08/30-12/16,16
,"Reserved for new piano students. Students must be available on Monday, August 29 for audition and placement in Mus 179. Auditions will not be held on other days. Course fee will be added upon placement."
"COMPLETED","Pending Audition - Voice","MUS","060","01","81555","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Dykstra, Linda L.",08/30-12/16,16
,"Reserved for new voice students. Students must be available on Monday, August 29 for audition and placement in the appropriate voice course. Auditions will not be held on other days. Course fee will be added upon placement."
"COMPLETED","Concert Attendance","MUS","080","01","81451",0,""," "," "," ","R"," "," "," ","1100-1150","JHMILR 120",100,54,46,0,"Southard, Robert G.",08/30-12/16,16
"CLOSED","Introduction to Music","MUS","101","01","81792",4,FA1," ","T"," ","R"," "," "," ","1330-1450","JHMILR 194",35,35,0,0,"Kim, JungWoo",08/30-12/16,16
"COMPLETED","Introduction to Music","MUS","101","02","81608",4,FA1," ","T"," ","R"," "," "," ","1200-1320","JHMILR 194",35,34,1,0,"Lewis, Huw R.",08/30-12/16,16
"COMPLETED","Introduction to Music","MUS","101","03","82128",4,FA1,"M"," ","W"," "," "," "," ","0800-0920","JHMILR 194",35,33,2,0,"Southard, Sarah",08/30-12/16,16
"COMPLETED","Introduction to Music","MUS","101","04","82130",4,FA1,"M"," ","W"," "," "," "," ","1300-1420","JHMILR 194",35,26,9,0,"Craioveanu, Mihai D.",08/30-12/16,16
"COMPLETED","Perspectives in Music","MUS","102","01","82296",4,GLI," ","T"," ","R"," "," "," ","1330-1450","JHMILR 192",10,7,3,0,"Hornbach, Christina M.",08/30-12/16,16
